      Comparison1   Comparison2  HMAX_C1_1_Prediction  HMAX_C1_2_Prediction  HMAX_C1_3_Prediction  HMAX_C1_4_Prediction  HMAX_C1_5_Prediction  HMAX_C1_6_Prediction  HMAX_C1_7_Prediction  HMAX_C1_8_Prediction  HMAX_C1_Prediction  HMAX_C2_1_Prediction  HMAX_C2_2_Prediction  HMAX_C2_3_Prediction  HMAX_C2_4_Prediction  HMAX_C2_5_Prediction  HMAX_C2_6_Prediction  HMAX_C2_7_Prediction  HMAX_C2_8_Prediction  HMAX_C2_Prediction
95    o4_t1_cs_d2   o4_t2_rp_d1                     0                     0                     0                     0                     0                     0                     0                     0                   0                     0                     0                     0                     0                     0                     0                     0                     0                   0
96    o4_t1_cs_d2   o4_t2_rp_d2                     1                     1                     1                     1                     1                     1                     1                     0                   1                     0                     0                     0                     0                     0                     0                     0                     0                   0
97    o4_t2_ap_d1   o4_t2_ap_d2                     0                     0                     0                     0                     0                     0                     0                     0                   0                     1                     1                     1                     1                     1                     1                     1                     0                   1
98    o4_t2_ap_d1   o4_t2_mf_d1                     0                     0                     0                     0                     0                     0                     0                     0                   0                     1                     1                     1                     1                     1                     1                     0                     0                   1
99    o4_t2_ap_d1   o4_t2_mf_d2                     0                     0                     0                     0                     0                     0                     0                     0                   0                     1                     1                     1                     1                     1                     1                     1                     1                   1
100   o4_t2_ap_d1   o4_t2_rp_d1                     0                     0                     0                     0                     0                     0                     0                     0                   0                     0                     0                     0                     0                     0                     0                     0                     0                   0
101   o4_t2_ap_d1   o4_t2_rp_d2                     0                     0                     0                     0                     0                     0                     0                     0                   0                     1                     1                     1                     1                     1                     1                     0                     0                   1
102   o4_t2_ap_d2   o4_t2_mf_d1                     0                     0                     1                     1                     1                     1                     1                     1                   1                     0                     0                     0                     0                     0                     0                     0                     0                   0
103   o4_t2_ap_d2   o4_t2_mf_d2                     1                     1                     1                     1                     1                     1                     1                     1                   1                     1                     1                     1                     1                     1                     1                     1                     1                   1
104   o4_t2_ap_d2   o4_t2_rp_d1                     0                     0                     0                     0                     0                     1                     1                     1                   0                     0                     0                     0                     0                     0                     0                     0                     0                   0
