      Comparison1   Comparison2  TE_DfPS_Prediction  TE_DfP_Prediction  TE_DfS_Prediction  TE_NoCond_Prediction  TE_OnlyDF_Prediction  TE_OnlyP_Prediction  TE_OnlyS_Prediction  TE_VolD_Prediction  TE_VolI_Prediction  VOL_IntDifference_Prediction  VOL_IntDifference_Uncertain_Prediction  VOL_IntRatio_Prediction  VOL_IntRatio_Uncertain_Prediction  VOL_Intersection_Prediction  VOL_Intersection_Uncertain_Prediction
74    o2_t2_mf_d1   o2_t2_ap_d2                 0.0                0.0                0.5                   1.0                   0.5                  0.0                  1.0                   0                 0.0                             0                                       0                        0                                  0                            0                                      0
75    o2_t2_mf_d1   o2_t2_rp_d1                 0.5                0.5                1.0                   1.0                   1.0                  0.5                  1.0                   0                 1.0                             0                                       0                        0                                  0                            1                                      1
76    o2_t2_mf_d1   o2_t2_rp_d2                 0.0                0.0                0.5                   1.0                   0.5                  0.0                  1.0                   0                 0.0                             0                                       0                        0                                  0                            0                                      0
77    o2_t2_mf_d2   o2_t1_cs_d1                 1.0                1.0                0.5                   0.5                   0.0                  1.0                  1.0                   1                 1.0                             1                                       1                        1                                  1                            0                                      0
78    o2_t2_mf_d2   o2_t1_cs_d2                 0.5                0.5                0.5                   0.5                   0.0                  0.5                  1.0                   0                 0.0                             0                                       0                        0                                  0                            0                                      0
79    o2_t2_mf_d2   o2_t2_mf_d1                 1.0                1.0                0.5                   0.5                   0.5                  1.0                  0.5                   1                 1.0                             1                                       1                        1                                  1                            1                                      1
80    o2_t2_mf_d2   o2_t2_ap_d1                 0.5                0.5                0.5                   1.0                   0.5                  0.5                  1.0                   0                 0.5                             0                                       0                        0                                  0                            0                                      0
81    o2_t2_mf_d2   o2_t2_ap_d2                 0.5                0.5                0.5                   1.0                   0.5                  0.5                  1.0                   0                 0.5                             0                                       0                        0                                  0                            0                                      0
82    o2_t2_mf_d2   o2_t2_rp_d1                 1.0                1.0                1.0                   1.0                   1.0                  1.0                  1.0                   1                 1.0                             1                                       1                        1                                  1                            1                                      1
83    o2_t2_mf_d2   o2_t2_rp_d2                 0.5                0.5                0.5                   1.0                   0.5                  0.5                  1.0                   0                 0.5                             0                                       0                        0                                  0                            1                                      1
84    o2_t2_ap_d1   o2_t1_cs_d1                 1.0                1.0                0.5                   0.0                   0.0                  1.0                  0.5                   1                 1.0                             1                                       1                        1                                  1                            1                                      0
85    o2_t2_ap_d1   o2_t1_cs_d2                 0.5                0.5                0.5                   0.0                   0.0                  0.5                  0.5                   1                 0.0                             1                                       0                        1                                  0                            1                                      1
86    o2_t2_ap_d1   o2_t2_mf_d1                 1.0                1.0                0.5                   0.0                   0.5                  1.0                  0.0                   1                 1.0                             1                                       1                        1                                  1                            1                                      1
87    o2_t2_ap_d1   o2_t2_mf_d2                 0.5                0.5                0.5                   0.0                   0.5                  0.5                  0.0                   1                 0.5                             1                                       1                        1                                  1                            1                                      1
88    o2_t2_ap_d1   o2_t2_ap_d2                 0.5                0.5                0.5                   0.5                   0.5                  0.5                  0.5                   1                 0.5                             1                                       1                        1                                  1                            1                                      1
89    o2_t2_ap_d1   o2_t2_rp_d1                 1.0                1.0                1.0                   1.0                   1.0                  1.0                  1.0                   1                 1.0                             1                                       1                        1                                  1                            1                                      1
90    o2_t2_ap_d1   o2_t2_rp_d2                 0.5                0.5                0.5                   0.5                   0.5                  0.5                  0.5                   1                 0.5                             1                                       1                        1                                  1                            1                                      1
91    o2_t2_ap_d2   o2_t1_cs_d1                 1.0                1.0                0.5                   0.0                   0.0                  1.0                  0.5                   1                 1.0                             1                                       1                        1                                  1                            1                                      0
92    o2_t2_ap_d2   o2_t1_cs_d2                 0.5                0.5                0.5                   0.0                   0.0                  0.5                  0.5                   0                 0.0                             0                                       0                        1                                  0                            1                                      1
93    o2_t2_ap_d2   o2_t2_mf_d1                 1.0                1.0                0.5                   0.0                   0.5                  1.0                  0.0                   1                 1.0                             1                                       1                        1                                  1                            1                                      1
94    o2_t2_ap_d2   o2_t2_mf_d2                 0.5                0.5                0.5                   0.0                   0.5                  0.5                  0.0                   1                 0.5                             1                                       1                        1                                  1                            1                                      1
95    o2_t2_ap_d2   o2_t2_ap_d1                 0.5                0.5                0.5                   0.5                   0.5                  0.5                  0.5                   0                 0.5                             0                                       0                        0                                  0                            0                                      0
96    o2_t2_ap_d2   o2_t2_rp_d1                 1.0                1.0                1.0                   1.0                   1.0                  1.0                  1.0                   1                 1.0                             1                                       1                        1                                  1                            1                                      1
97    o2_t2_ap_d2   o2_t2_rp_d2                 0.5                0.5                0.5                   0.5                   0.5                  0.5                  0.5                   1                 0.5                             1                                       1                        1                                  1                            1                                      1
98    o2_t2_rp_d1   o2_t1_cs_d1                 0.5                0.5                0.0                   0.0                   0.0                  0.5                  0.0                   1                 0.0                             1                                       0                        0                                  0                            0                                      0
99    o2_t2_rp_d1   o2_t1_cs_d2                 0.0                0.0                0.0                   0.0                   0.0                  0.0                  0.0                   0                 0.0                             0                                       0                        0                                  0                            0                                      0
100   o2_t2_rp_d1   o2_t2_mf_d1                 0.5                0.5                0.0                   0.0                   0.0                  0.5                  0.0                   1                 0.0                             1                                       1                        1                                  1                            0                                      0
101   o2_t2_rp_d1   o2_t2_mf_d2                 0.0                0.0                0.0                   0.0                   0.0                  0.0                  0.0                   0                 0.0                             0                                       0                        0                                  0                            0                                      0
102   o2_t2_rp_d1   o2_t2_ap_d1                 0.0                0.0                0.0                   0.0                   0.0                  0.0                  0.0                   0                 0.0                             0                                       0                        0                                  0                            0                                      0
103   o2_t2_rp_d1   o2_t2_ap_d2                 0.0                0.0                0.0                   0.0                   0.0                  0.0                  0.0                   0                 0.0                             0                                       0                        0                                  0                            0                                      0
104   o2_t2_rp_d1   o2_t2_rp_d2                 0.0                0.0                0.0                   0.0                   0.0                  0.0                  0.0                   0                 0.0                             0                                       0                        0                                  0                            0                                      0
105   o2_t2_rp_d2   o2_t1_cs_d1                 1.0                1.0                0.5                   0.0                   0.0                  1.0                  0.5                   1                 1.0                             1                                       1                        1                                  1                            0                                      0
106   o2_t2_rp_d2   o2_t1_cs_d2                 0.5                0.5                0.5                   0.0                   0.0                  0.5                  0.5                   0                 0.0                             0                                       0                        0                                  0                            0                                      0
107   o2_t2_rp_d2   o2_t2_mf_d1                 1.0                1.0                0.5                   0.0                   0.5                  1.0                  0.0                   1                 1.0                             1                                       1                        1                                  1                            1                                      1
