      Target    Comparison                          Layer     Distance
192       o1   o3_t1_cs_d2  GoogLeNet_inception_5b/output     2.760459
193       o1   o3_t1_cs_d2          GoogLeNet_conv2/norm2   254.435379
194       o1   o3_t1_cs_d2  GoogLeNet_inception_3a/output  1416.552979
195       o1   o3_t1_cs_d2         GoogLeNet_pool4/3x3_s2    33.985802
196       o1   o3_t1_cs_d2  GoogLeNet_inception_5a/output    16.528934
197       o1   o3_t1_cs_d2     GoogLeNet_loss3/classifier     1.378335
198       o1   o3_t1_cs_d2         GoogLeNet_pool3/3x3_s2   605.930054
199       o1   o3_t1_cs_d2  GoogLeNet_inception_4c/output   132.699326
200       o1   o3_t1_cs_d2  GoogLeNet_inception_3b/output   179.257614
201       o1   o3_t1_cs_d2         GoogLeNet_pool5/7x7_s1     0.653127
202       o1   o3_t1_cs_d2  GoogLeNet_inception_4a/output   193.454025
203       o1   o3_t1_cs_d2  GoogLeNet_inception_4b/output   148.304062
204       o1   o3_t1_cs_d2          GoogLeNet_pool1/norm1   608.389709
205       o1   o3_t1_cs_d2  GoogLeNet_inception_4d/output    54.033806
206       o1   o3_t1_cs_d2  GoogLeNet_inception_4e/output    14.277235
207       o1   o3_t1_cs_d2                 GoogLeNet_prob     0.000095
208       o1   o4_t1_cs_d2  GoogLeNet_inception_5b/output     2.765008
209       o1   o4_t1_cs_d2          GoogLeNet_conv2/norm2   269.364685
210       o1   o4_t1_cs_d2  GoogLeNet_inception_3a/output  1520.489624
211       o1   o4_t1_cs_d2         GoogLeNet_pool4/3x3_s2    29.893038
212       o1   o4_t1_cs_d2  GoogLeNet_inception_5a/output    14.460364
213       o1   o4_t1_cs_d2     GoogLeNet_loss3/classifier     1.609659
214       o1   o4_t1_cs_d2         GoogLeNet_pool3/3x3_s2   659.621948
215       o1   o4_t1_cs_d2  GoogLeNet_inception_4c/output   122.015190
216       o1   o4_t1_cs_d2  GoogLeNet_inception_3b/output   196.613922
217       o1   o4_t1_cs_d2         GoogLeNet_pool5/7x7_s1     0.622921
218       o1   o4_t1_cs_d2  GoogLeNet_inception_4a/output   200.843735
219       o1   o4_t1_cs_d2  GoogLeNet_inception_4b/output   154.515289
220       o1   o4_t1_cs_d2          GoogLeNet_pool1/norm1   641.545654
221       o1   o4_t1_cs_d2  GoogLeNet_inception_4d/output    48.218266
222       o1   o4_t1_cs_d2  GoogLeNet_inception_4e/output    12.710300
223       o1   o4_t1_cs_d2                 GoogLeNet_prob     0.000078
224       o1   o5_t1_cs_d2  GoogLeNet_inception_5b/output     3.237820
225       o1   o5_t1_cs_d2          GoogLeNet_conv2/norm2   335.493744
226       o1   o5_t1_cs_d2  GoogLeNet_inception_3a/output  1731.838623
227       o1   o5_t1_cs_d2         GoogLeNet_pool4/3x3_s2    36.659214
228       o1   o5_t1_cs_d2  GoogLeNet_inception_5a/output    16.930395
229       o1   o5_t1_cs_d2     GoogLeNet_loss3/classifier     1.466185
230       o1   o5_t1_cs_d2         GoogLeNet_pool3/3x3_s2   745.222717
231       o1   o5_t1_cs_d2  GoogLeNet_inception_4c/output   155.605713
232       o1   o5_t1_cs_d2  GoogLeNet_inception_3b/output   220.565155
233       o1   o5_t1_cs_d2         GoogLeNet_pool5/7x7_s1     0.676754
234       o1   o5_t1_cs_d2  GoogLeNet_inception_4a/output   243.906662
235       o1   o5_t1_cs_d2  GoogLeNet_inception_4b/output   193.139771
236       o1   o5_t1_cs_d2          GoogLeNet_pool1/norm1   773.853699
237       o1   o5_t1_cs_d2  GoogLeNet_inception_4d/output    61.403065
238       o1   o5_t1_cs_d2  GoogLeNet_inception_4e/output    15.727544
239       o1   o5_t1_cs_d2                 GoogLeNet_prob     0.000144
240       o1   o6_t1_cs_d2  GoogLeNet_inception_5b/output     1.890905
241       o1   o6_t1_cs_d2          GoogLeNet_conv2/norm2   287.811981
242       o1   o6_t1_cs_d2  GoogLeNet_inception_3a/output  1552.026001
243       o1   o6_t1_cs_d2         GoogLeNet_pool4/3x3_s2    28.092566
244       o1   o6_t1_cs_d2  GoogLeNet_inception_5a/output    12.316320
245       o1   o6_t1_cs_d2     GoogLeNet_loss3/classifier     0.580278
246       o1   o6_t1_cs_d2         GoogLeNet_pool3/3x3_s2   693.650635
247       o1   o6_t1_cs_d2  GoogLeNet_inception_4c/output   131.457321
248       o1   o6_t1_cs_d2  GoogLeNet_inception_3b/output   200.148666
249       o1   o6_t1_cs_d2         GoogLeNet_pool5/7x7_s1     0.305101
250       o1   o6_t1_cs_d2  GoogLeNet_inception_4a/output   206.968384
251       o1   o6_t1_cs_d2  GoogLeNet_inception_4b/output   166.608780
252       o1   o6_t1_cs_d2          GoogLeNet_pool1/norm1   731.694214
