     Target    Comparison          Layer      Distance  DistanceInverted
211      o2   o2_t2_rp_d2    AlexNet_fc7      0.472095          0.789581
212      o2   o2_t2_rp_d2    AlexNet_fc8      0.769988          2.015777
213      o2   o2_t2_rp_d2  AlexNet_conv4     92.901260         98.269592
214      o2   o2_t2_rp_d2   AlexNet_prob      0.000215          0.000359
215      o2   o2_t2_rp_d2  AlexNet_conv3    300.501068        321.100220
216      o2   o2_t2_rp_d2  AlexNet_conv2    382.506470        412.612610
217      o2   o2_t2_rp_d2  AlexNet_conv1   6476.497070       6898.357910
218      o2   o2_t2_rp_d2  AlexNet_conv5     16.381548         18.962210
219      o2   o2_t2_rp_d2  AlexNet_norm2    491.891144        526.289856
220      o2   o2_t2_rp_d2  AlexNet_pool2   1015.119629       1060.968384
221      o2   o2_t2_rp_d2  AlexNet_pool1  18597.097656      20651.220703
222      o2   o2_t2_rp_d2  AlexNet_norm1    522.496765        579.288635
223      o2   o2_t2_rp_d2  AlexNet_pool5     51.349514         58.726929
224      o3   o3_t1_cs_d1    AlexNet_fc6      7.505146          6.176398
225      o3   o3_t1_cs_d1    AlexNet_fc7      0.551814          0.559938
226      o3   o3_t1_cs_d1    AlexNet_fc8      1.500111          1.520645
227      o3   o3_t1_cs_d1  AlexNet_conv4     65.947235         64.557602
228      o3   o3_t1_cs_d1   AlexNet_prob      0.000053          0.000098
229      o3   o3_t1_cs_d1  AlexNet_conv3    208.897812        223.264389
230      o3   o3_t1_cs_d1  AlexNet_conv2    268.687134        265.019958
231      o3   o3_t1_cs_d1  AlexNet_conv1   4763.426270       4110.398438
232      o3   o3_t1_cs_d1  AlexNet_conv5     12.957368         11.157256
233      o3   o3_t1_cs_d1  AlexNet_norm2    348.723846        366.703278
234      o3   o3_t1_cs_d1  AlexNet_pool2    714.959106        739.498108
235      o3   o3_t1_cs_d1  AlexNet_pool1  12956.667969      11576.482422
236      o3   o3_t1_cs_d1  AlexNet_norm1    338.118164        352.088654
237      o3   o3_t1_cs_d1  AlexNet_pool5     48.623840         39.241692
238      o3   o3_t1_cs_d2    AlexNet_fc6      8.044527          7.279158
239      o3   o3_t1_cs_d2    AlexNet_fc7      0.624190          0.861038
240      o3   o3_t1_cs_d2    AlexNet_fc8      1.748086          3.305491
241      o3   o3_t1_cs_d2  AlexNet_conv4     60.888680         61.614918
242      o3   o3_t1_cs_d2   AlexNet_prob      0.000051          0.000374
