     Target    Comparison                         Layer      Distance
236      o3   o3_t1_cs_d1       AlexNet_finetuned_norm1  3.606790e+02
237      o3   o3_t1_cs_d1       AlexNet_finetuned_pool5  2.872542e+02
238      o3   o3_t1_cs_d2  AlexNet_finetuned_fc8_blocks  5.406074e+00
239      o3   o3_t1_cs_d2         AlexNet_finetuned_fc6  2.732521e+01
240      o3   o3_t1_cs_d2         AlexNet_finetuned_fc7  3.253787e+00
241      o3   o3_t1_cs_d2       AlexNet_finetuned_conv4  1.748614e+02
242      o3   o3_t1_cs_d2        AlexNet_finetuned_prob  4.563950e-03
243      o3   o3_t1_cs_d2       AlexNet_finetuned_conv3  3.166496e+02
244      o3   o3_t1_cs_d2       AlexNet_finetuned_conv2  2.541121e+02
245      o3   o3_t1_cs_d2       AlexNet_finetuned_conv1  3.839880e+03
246      o3   o3_t1_cs_d2       AlexNet_finetuned_conv5  4.917139e+01
247      o3   o3_t1_cs_d2       AlexNet_finetuned_norm2  3.205440e+02
248      o3   o3_t1_cs_d2       AlexNet_finetuned_pool2  6.348112e+02
249      o3   o3_t1_cs_d2       AlexNet_finetuned_pool1  1.011497e+04
250      o3   o3_t1_cs_d2       AlexNet_finetuned_norm1  3.277103e+02
251      o3   o3_t1_cs_d2       AlexNet_finetuned_pool5  1.593114e+02
252      o3   o3_t2_ap_d1  AlexNet_finetuned_fc8_blocks  1.760326e+01
253      o3   o3_t2_ap_d1         AlexNet_finetuned_fc6  4.203828e+01
254      o3   o3_t2_ap_d1         AlexNet_finetuned_fc7  5.781274e+00
255      o3   o3_t2_ap_d1       AlexNet_finetuned_conv4  1.858022e+02
256      o3   o3_t2_ap_d1        AlexNet_finetuned_prob  1.856128e-02
257      o3   o3_t2_ap_d1       AlexNet_finetuned_conv3  3.187166e+02
258      o3   o3_t2_ap_d1       AlexNet_finetuned_conv2  2.435312e+02
259      o3   o3_t2_ap_d1       AlexNet_finetuned_conv1  3.727346e+03
260      o3   o3_t2_ap_d1       AlexNet_finetuned_conv5  5.983377e+01
261      o3   o3_t2_ap_d1       AlexNet_finetuned_norm2  3.334513e+02
262      o3   o3_t2_ap_d1       AlexNet_finetuned_pool2  6.460469e+02
263      o3   o3_t2_ap_d1       AlexNet_finetuned_pool1  9.386555e+03
264      o3   o3_t2_ap_d1       AlexNet_finetuned_norm1  3.425488e+02
265      o3   o3_t2_ap_d1       AlexNet_finetuned_pool5  2.164403e+02
266      o3   o3_t2_ap_d2  AlexNet_finetuned_fc8_blocks  3.150622e+00
267      o3   o3_t2_ap_d2         AlexNet_finetuned_fc6  1.198460e+01
268      o3   o3_t2_ap_d2         AlexNet_finetuned_fc7  1.352475e+00
269      o3   o3_t2_ap_d2       AlexNet_finetuned_conv4  1.040646e+02
270      o3   o3_t2_ap_d2        AlexNet_finetuned_prob  2.770078e-03
271      o3   o3_t2_ap_d2       AlexNet_finetuned_conv3  1.977495e+02
272      o3   o3_t2_ap_d2       AlexNet_finetuned_conv2  1.683707e+02
273      o3   o3_t2_ap_d2       AlexNet_finetuned_conv1  3.019734e+03
274      o3   o3_t2_ap_d2       AlexNet_finetuned_conv5  2.837557e+01
275      o3   o3_t2_ap_d2       AlexNet_finetuned_norm2  2.054801e+02
276      o3   o3_t2_ap_d2       AlexNet_finetuned_pool2  4.057863e+02
277      o3   o3_t2_ap_d2       AlexNet_finetuned_pool1  6.889038e+03
278      o3   o3_t2_ap_d2       AlexNet_finetuned_norm1  2.270127e+02
279      o3   o3_t2_ap_d2       AlexNet_finetuned_pool5  9.292143e+01
280      o3   o3_t2_mf_d1  AlexNet_finetuned_fc8_blocks  4.939034e+00
281      o3   o3_t2_mf_d1         AlexNet_finetuned_fc6  2.351698e+01
282      o3   o3_t2_mf_d1         AlexNet_finetuned_fc7  2.094049e+00
283      o3   o3_t2_mf_d1       AlexNet_finetuned_conv4  1.548026e+02
284      o3   o3_t2_mf_d1        AlexNet_finetuned_prob  4.421333e-03
285      o3   o3_t2_mf_d1       AlexNet_finetuned_conv3  2.573272e+02
286      o3   o3_t2_mf_d1       AlexNet_finetuned_conv2  2.193287e+02
287      o3   o3_t2_mf_d1       AlexNet_finetuned_conv1  3.601749e+03
288      o3   o3_t2_mf_d1       AlexNet_finetuned_conv5  5.028593e+01
289      o3   o3_t2_mf_d1       AlexNet_finetuned_norm2  2.569351e+02
290      o3   o3_t2_mf_d1       AlexNet_finetuned_pool2  5.107286e+02
291      o3   o3_t2_mf_d1       AlexNet_finetuned_pool1  8.642848e+03
292      o3   o3_t2_mf_d1       AlexNet_finetuned_norm1  2.951117e+02
293      o3   o3_t2_mf_d1       AlexNet_finetuned_pool5  1.553047e+02
294      o3   o3_t2_mf_d2  AlexNet_finetuned_fc8_blocks  2.753152e+00
295      o3   o3_t2_mf_d2         AlexNet_finetuned_fc6  1.213885e+01
296      o3   o3_t2_mf_d2         AlexNet_finetuned_fc7  1.307409e+00
297      o3   o3_t2_mf_d2       AlexNet_finetuned_conv4  9.586950e+01
298      o3   o3_t2_mf_d2        AlexNet_finetuned_prob  7.544306e-05
299      o3   o3_t2_mf_d2       AlexNet_finetuned_conv3  1.918579e+02
300      o3   o3_t2_mf_d2       AlexNet_finetuned_conv2  1.683800e+02
301      o3   o3_t2_mf_d2       AlexNet_finetuned_conv1  2.830700e+03
302      o3   o3_t2_mf_d2       AlexNet_finetuned_conv5  2.201775e+01
303      o3   o3_t2_mf_d2       AlexNet_finetuned_norm2  2.072442e+02
