      Comparison1   Comparison2  MA_pcomp_Prediction  MA_ptarget_Prediction  MA_pavg_Prediction
172   o7_t1_cs_d1   o7_t2_mf_d2                    0                      0                   0
173   o7_t1_cs_d1   o7_t2_rp_d1                    1                      0                   0
174   o7_t1_cs_d1   o7_t2_rp_d2                    0                      1                   1
175   o7_t1_cs_d2   o7_t2_ap_d1                    0                      0                   0
176   o7_t1_cs_d2   o7_t2_ap_d2                    1                      0                   0
177   o7_t1_cs_d2   o7_t2_mf_d1                    0                      0                   0
178   o7_t1_cs_d2   o7_t2_mf_d2                    0                      1                   1
179   o7_t1_cs_d2   o7_t2_rp_d1                    0                      0                   0
180   o7_t1_cs_d2   o7_t2_rp_d2                    0                      1                   1
181   o7_t2_ap_d1   o7_t2_ap_d2                    1                      0                   0
182   o7_t2_ap_d1   o7_t2_mf_d1                    1                      0                   0
183   o7_t2_ap_d1   o7_t2_mf_d2                    0                      1                   1
184   o7_t2_ap_d1   o7_t2_rp_d1                    0                      0                   0
185   o7_t2_ap_d1   o7_t2_rp_d2                    0                      1                   1
186   o7_t2_ap_d2   o7_t2_mf_d1                    0                      0                   0
187   o7_t2_ap_d2   o7_t2_mf_d2                    0                      1                   1
188   o7_t2_ap_d2   o7_t2_rp_d1                    0                      1                   1
189   o7_t2_ap_d2   o7_t2_rp_d2                    0                      1                   1
190   o7_t2_mf_d1   o7_t2_mf_d2                    0                      1                   1
191   o7_t2_mf_d1   o7_t2_rp_d1                    0                      1                   1
192   o7_t2_mf_d1   o7_t2_rp_d2                    0                      1                   1
193   o7_t2_mf_d2   o7_t2_rp_d1                    1                      0                   0
194   o7_t2_mf_d2   o7_t2_rp_d2                    1                      1                   1
195   o7_t2_rp_d1   o7_t2_rp_d2                    0                      1                   1
196   o8_t1_cs_d1   o8_t1_cs_d2                    0                      1                   1
197   o8_t1_cs_d1   o8_t2_ap_d1                    1                      0                   0
198   o8_t1_cs_d1   o8_t2_ap_d2                    0                      1                   1
199   o8_t1_cs_d1   o8_t2_mf_d1                    1                      0                   0
200   o8_t1_cs_d1   o8_t2_mf_d2                    0                      0                   0
201   o8_t1_cs_d1   o8_t2_rp_d1                    0                      1                   1
202   o8_t1_cs_d1   o8_t2_rp_d2                    0                      0                   0
203   o8_t1_cs_d2   o8_t2_ap_d1                    1                      0                   0
204   o8_t1_cs_d2   o8_t2_ap_d2                    1                      1                   1
205   o8_t1_cs_d2   o8_t2_mf_d1                    1                      0                   0
206   o8_t1_cs_d2   o8_t2_mf_d2                    1                      0                   0
207   o8_t1_cs_d2   o8_t2_rp_d1                    1                      1                   1
208   o8_t1_cs_d2   o8_t2_rp_d2                    1                      0                   0
209   o8_t2_ap_d1   o8_t2_ap_d2                    0                      1                   1
210   o8_t2_ap_d1   o8_t2_mf_d1                    1                      0                   0
211   o8_t2_ap_d1   o8_t2_mf_d2                    0                      1                   1
212   o8_t2_ap_d1   o8_t2_rp_d1                    0                      1                   1
213   o8_t2_ap_d1   o8_t2_rp_d2                    0                      0                   0
214   o8_t2_ap_d2   o8_t2_mf_d1                    1                      0                   0
215   o8_t2_ap_d2   o8_t2_mf_d2                    1                      0                   0
216   o8_t2_ap_d2   o8_t2_rp_d1                    0                      0                   0
217   o8_t2_ap_d2   o8_t2_rp_d2                    1                      0                   0
218   o8_t2_mf_d1   o8_t2_mf_d2                    0                      1                   1
219   o8_t2_mf_d1   o8_t2_rp_d1                    0                      1                   1
220   o8_t2_mf_d1   o8_t2_rp_d2                    0                      0                   0
221   o8_t2_mf_d2   o8_t2_rp_d1                    0                      1                   1
222   o8_t2_mf_d2   o8_t2_rp_d2                    0                      0                   0
223   o8_t2_rp_d1   o8_t2_rp_d2                    1                      0                   0
224   o9_t1_cs_d1   o9_t1_cs_d2                    1                      0                   0
225   o9_t1_cs_d1   o9_t2_ap_d1                    1                      0                   0
226   o9_t1_cs_d1   o9_t2_ap_d2                    1                      0                   0
227   o9_t1_cs_d1   o9_t2_mf_d1                    1                      0                   0
228   o9_t1_cs_d1   o9_t2_mf_d2                    1                      0                   0
229   o9_t1_cs_d1   o9_t2_rp_d1                    1                      0                   0
230   o9_t1_cs_d1   o9_t2_rp_d2                    1                      0                   0
231   o9_t1_cs_d2   o9_t2_ap_d1                    1                      0                   0
232   o9_t1_cs_d2   o9_t2_ap_d2                    1                      0                   0
233   o9_t1_cs_d2   o9_t2_mf_d1                    1                      0                   0
234   o9_t1_cs_d2   o9_t2_mf_d2                    1                      0                   0
235   o9_t1_cs_d2   o9_t2_rp_d1                    1                      0                   0
236   o9_t1_cs_d2   o9_t2_rp_d2                    0                      1                   1
237   o9_t2_ap_d1   o9_t2_ap_d2                    1                      1                   1
238   o9_t2_ap_d1   o9_t2_mf_d1                    0                      1                   1
239   o9_t2_ap_d1   o9_t2_mf_d2                    1                      0                   0
240   o9_t2_ap_d1   o9_t2_rp_d1                    0                      1                   1
241   o9_t2_ap_d1   o9_t2_rp_d2                    0                      1                   1
242   o9_t2_ap_d2   o9_t2_mf_d1                    0                      1                   1
243   o9_t2_ap_d2   o9_t2_mf_d2                    1                      0                   0
244   o9_t2_ap_d2   o9_t2_rp_d1                    0                      1                   1
245   o9_t2_ap_d2   o9_t2_rp_d2                    0                      1                   1
246   o9_t2_mf_d1   o9_t2_mf_d2                    1                      0                   0
247   o9_t2_mf_d1   o9_t2_rp_d1                    1                      1                   1
248   o9_t2_mf_d1   o9_t2_rp_d2                    0                      1                   1
249   o9_t2_mf_d2   o9_t2_rp_d1                    0                      1                   1
250   o9_t2_mf_d2   o9_t2_rp_d2                    0                      1                   1
251   o9_t2_rp_d1   o9_t2_rp_d2                    0                      1                   1
252  o10_t1_cs_d1  o10_t1_cs_d2                    0                      0                   0
253  o10_t1_cs_d1  o10_t2_ap_d1                    0                      0                   0
254  o10_t1_cs_d1  o10_t2_ap_d2                    1                      0                   0
255  o10_t1_cs_d1  o10_t2_mf_d1                    0                      0                   0
256  o10_t1_cs_d1  o10_t2_mf_d2                    0                      0                   0
257  o10_t1_cs_d1  o10_t2_rp_d1                    0                      0                   0
258  o10_t1_cs_d1  o10_t2_rp_d2                    0                      0                   0
259  o10_t1_cs_d2  o10_t2_ap_d1                    1                      0                   0
260  o10_t1_cs_d2  o10_t2_ap_d2                    1                      1                   1
261  o10_t1_cs_d2  o10_t2_mf_d1                    1                      1                   1
262  o10_t1_cs_d2  o10_t2_mf_d2                    1                      0                   0
263  o10_t1_cs_d2  o10_t2_rp_d1                    1                      0                   0
264  o10_t1_cs_d2  o10_t2_rp_d2                    1                      1                   1
265  o10_t2_ap_d1  o10_t2_ap_d2                    1                      1                   1
266  o10_t2_ap_d1  o10_t2_mf_d1                    0                      1                   1
267  o10_t2_ap_d1  o10_t2_mf_d2                    1                      0                   0
268  o10_t2_ap_d1  o10_t2_rp_d1                    0                      0                   0
269  o10_t2_ap_d1  o10_t2_rp_d2                    0                      1                   1
270  o10_t2_ap_d2  o10_t2_mf_d1                    0                      1                   1
271  o10_t2_ap_d2  o10_t2_mf_d2                    0                      0                   0
272  o10_t2_ap_d2  o10_t2_rp_d1                    0                      0                   0
273  o10_t2_ap_d2  o10_t2_rp_d2                    0                      1                   1
274  o10_t2_mf_d1  o10_t2_mf_d2                    1                      0                   0
275  o10_t2_mf_d1  o10_t2_rp_d1                    0                      0                   0
276  o10_t2_mf_d1  o10_t2_rp_d2                    1                      1                   1
277  o10_t2_mf_d2  o10_t2_rp_d1                    0                      0                   0
278  o10_t2_mf_d2  o10_t2_rp_d2                    0                      1                   1
279  o10_t2_rp_d1  o10_t2_rp_d2                    1                      1                   1
